235,SACENC,FRANCE
236,ARTEGESTION,ECUADOR
237,TALI,ISRAEL
238,BSCAP,BELIZE
239,CMC,CAMEROON
240,DAMA,SPAIN
241,NICAUTOR,NICARAGUA
242,SACIM,EL SALVADOR
243,SADIA,ANGOLA
244,SASUR,SURINAME
245,SETEM,TURKEY
246,VCPMC,VIET NAM
247,IVARO,IRELAND
248,DAC,ARGENTINA
249,PAM CG,MONTENEGRO
250,AEI-GUATEMALA,GUATEMALA
251,ASDACS,AUSTRALIA
252,COLCCMA,"TAIWAN, CHINESE TAIPEI"
253,AAS,AZERBAIJAN
254,SOCILADRA,CAMEROON
256,PICTORIGHT,NETHERLANDS
257,SAVA,ARGENTINA
258,MRCSN,NEPAL
259,SDCSI,IRELAND
260,ACS,UNITED KINGDOM
261,GAI Uz,UZBEKISTAN
262,SINEBIR,TURKEY
263,SACS,SEYCHELLES
264,CARCC,CANADA
265,MACA,MACAU
266,BeAT,BRUNEI DARUSSALAM
267,UPRAVIS,RUSSIAN FEDERATION
268,COSON,NIGERIA
269,WAMI,INDONESIA
270,JASPAR,JAPAN
271,DHFR,CROATIA
272,MOSCAP,MONGOLIA
273,AMUS,BOSNIA AND HERZEGOVINA
274,AuPO CINEMA,UKRAINE
275,AUTODIAHIRISI,GREECE
276,DASC,COLOMBIA
277,RSAU,RWANDA
278,RUR,RUSSIA
279,SDADV,ANDORRA
280,SANASTO,FINLAND
281,ATHINA- SADA - S.A.D.A.,GREECE
282,UNAC-SA,ANGOLA
283,CAPASSO,SOUTH AFRICA
284,COSOZA,ZANZIBAR
285,GHAMRO,GHANA
286,ODDA,DJIBOUTI
287,KORRA,KOREA
288,ABYROY,KAZAKHSTAN
289,AIPA,SLOVENIA
290,AZDG,AZERBAIJAN
291,OFA,SERBIA
292,ZPAP,POLAND
293,DBCA,BRAZIL
294,REDES,COLOMBIA
295,SAGCRYT,MEXICO
296,DACIN-SARA,ROMANIA
297,GEDAR,BRAZIL
298,OOA-S,CZECH REPUBLIC
299,SCM-COOPERATIVA,CAPE VERDE
300,WID Centre,UNITED STATES
301,GESAC,BELGIUM
302,LATINAUTOR,URUGUAY
303,NORD-DOC,SWEDEN
304,SONGCODE,UNITED STATES
306,ACCS,TRINIDAD AND TOBAGO
307,MIS@ASIA,SINGAPORE
308,ECAD,BRAZIL
309,LatinNet,SPAIN
310,DIVA,HONG KONG
311,MCPS-PRS Alliance,UNITED KINGDOM
312,CISAC,FRANCE
313,FastTrack DCN,FRANCE
314,IDA,FRANCE
315,CSI,FRANCE
316,CIS-Net AVI,FRANCE
317,INTL-REP,FRANCE
318,SGS,
319,ICE Services AB,SWEDEN
320,ARMONIA,FRANCE
321,PUBLISHERS,
322,EVA,BELGIUM
635,GEMA-US,Additional CIS-Net Node
658,SACEM-US,Additional CIS-Net Node
672,SGAE-NY,Additional CIS-Net Node
707,MusicMark,USA
758,SACEM-LIBAN,Additional CIS-Net Node
775,Solar EMI,GERMANY/UK
776,Solar Sony,GERMANY/UK
777,CELAS,GERMANY/UK
778,GMR,
779,Polaris Nordic,SCANDINAVIA
780,UNISON,Spain
888,PAECOL,Additional CIS-Net Node
